Time(s),Electrode Distance (mm),LA Conc (mM),Resistance (Mohm)
6,1,1.11,6.96951
9,1,1.11,6.83227
10,1,1.11,7.3433
11,1,1.11,7.31868
44,3,1.11,0.0155
45,3,1.11,0.0155
101,1,0.055,14.313
102,1,0.055,14.3324
103,1,0.055,14.4834
104,1,0.055,14.4641
105,1,0.055,14.4372
46,3,1.11,0.0155
47,3,1.11,0.0155
48,3,1.11,0.0155
49,3,1.11,0.0155
50,3,1.11,0.0155
51,3,1.11,0.0155
12,1,1.11,7.04117
13,1,1.11,6.90996
14,1,1.11,6.9768
15,1,1.11,6.92384
16,1,1.11,6.97877
17,1,1.11,7.08147
18,1,1.11,7.10311
19,1,1.11,7.25715
20,1,1.11,7.53027
21,1,1.11,7.63602
22,1,1.11,7.67306
23,1,1.11,7.68594
24,1,1.11,7.71198
25,1,1.11,7.51485
26,1,1.11,7.21622
27,1,1.11,7.4123
28,1,1.11,7.25345
29,1,1.11,7.22116
30,1,1.11,7.09066
31,1,1.11,7.05523
32,1,1.11,7.29285
33,1,1.11,7.65142
34,1,1.11,7.73333
35,1,1.11,7.90175
36,1,1.11,7.8674
37,1,1.11,7.89372
38,1,1.11,7.76298
39,1,1.11,7.77435
40,1,1.11,7.8742
41,1,1.11,7.69442
42,1,1.11,7.51322
43,1,1.11,7.74513
735,1,11.1,7.21785
736,1,11.1,7.19395
737,1,11.1,7.20705
738,1,11.1,7.25645
44,1,1.11,7.87131
45,1,1.11,7.64318
46,1,1.11,7.15402
47,1,1.11,7.43314
48,1,1.11,7.39851
49,1,1.11,7.43973
50,1,1.11,7.34984
51,1,1.11,7.7846
52,1,1.11,8.08408
53,1,1.11,7.58622
54,1,1.11,8.94323
55,1,1.11,9.1686
56,1,1.11,9.01031
57,1,1.11,10.9022
58,1,1.11,10.854
59,1,1.11,10.9222
60,1,1.11,10.9489
61,1,1.11,11.2928
62,1,1.11,11.0458
63,1,1.11,11.3186
64,1,1.11,14.1688
65,1,1.11,14.2656
66,1,1.11,14.1522
67,1,1.11,14.1654
68,1,1.11,13.9947
69,1,1.11,13.9507
70,1,1.11,14.6819
71,1,1.11,14.8109
72,1,1.11,14.0594
73,1,1.11,14.1286
74,1,1.11,14.0944
75,1,1.11,13.9952
76,1,1.11,13.9134
77,1,1.11,14.0688
78,1,1.11,13.9929
79,1,1.11,13.5452
80,1,1.11,11.0971
81,1,1.11,8.5407
82,1,1.11,12.8296
83,1,1.11,12.6837
84,1,1.11,12.8347
85,1,1.11,13.073
88,1,1.11,12.6791
89,1,1.11,12.583
103,5,1.11,0.0242
104,5,1.11,0.0242
105,5,1.11,0.0241
106,5,1.11,0.0241
107,5,1.11,0.0241
108,5,1.11,0.0241
109,5,1.11,0.0241
7,1,1.11,6.97741
8,1,1.11,7.00131
110,5,1.11,0.0241
90,1,1.11,12.8806
91,1,1.11,12.5818
92,1,1.11,12.9174
93,1,1.11,13.1287
94,1,1.11,12.7868
95,1,1.11,12.8476
96,1,1.11,12.6272
97,1,1.11,12.5007
98,1,1.11,12.3233
99,1,1.11,12.5079
100,1,1.11,12.7501
101,1,1.11,12.6597
102,1,1.11,12.6489
103,1,1.11,12.7756
104,1,1.11,12.9211
105,1,1.11,12.9973
106,1,1.11,13.3155
107,1,1.11,13.3661
108,1,1.11,13.2199
109,1,1.11,13.2342
110,1,1.11,13.7621
111,1,1.11,13.807
112,1,1.11,13.6247
113,1,1.11,13.7645
114,1,1.11,13.7726
115,1,1.11,13.5608
116,1,1.11,13.535
117,1,1.11,13.2471
118,1,1.11,13.3401
119,1,1.11,13.225
120,1,1.11,13.4497
6,3,1.11,0.0515
